confounding,index,class,setting,type_I_err
0.07208748364370193,1,Null,Candès et al.: Randomly Distributed Signals,0.05059548886927223
0.08676641179165238,2,Null,Candès et al.: Randomly Distributed Signals,0.05086283521567815
-0.08981526329432866,3,Null,Candès et al.: Randomly Distributed Signals,0.05092457294359039
0.02949782223396484,4,Null,Candès et al.: Randomly Distributed Signals,0.05009967870113362
-0.0084706814654472,5,Null,Candès et al.: Randomly Distributed Signals,0.05000821930050844
0.03585684531844125,6,Null,Candès et al.: Randomly Distributed Signals,0.05014729203534274
0.047963201389206886,7,Null,Candès et al.: Randomly Distributed Signals,0.05026356169701868
0.07667832358587003,8,Null,Candès et al.: Randomly Distributed Signals,0.050673782685621185
-0.10309563430086899,9,Null,Candès et al.: Randomly Distributed Signals,0.05121842528984172
-0.08959439547069303,10,Null,Candès et al.: Randomly Distributed Signals,0.05092002869523279
-6.279843085078291e-4,11,Null,Candès et al.: Randomly Distributed Signals,0.05000004517452245
-0.023488387312444643,12,Null,Candès et al.: Randomly Distributed Signals,0.050063200304348916
-0.1505789419390353,13,Null,Candès et al.: Randomly Distributed Signals,0.05260141151361227
0.17877168279451144,14,Null,Candès et al.: Randomly Distributed Signals,0.053669061553246286
0.0752027141145233,15,Null,Candès et al.: Randomly Distributed Signals,0.050648089316261115
0.19235070593870257,16,Null,Candès et al.: Randomly Distributed Signals,0.054249077088852224
0.3061205232161023,17,Null,Candès et al.: Randomly Distributed Signals,0.06080276619185296
0.1402765070798474,18,Null,Candès et al.: Randomly Distributed Signals,0.05225715125094384
-0.08102688353637859,19,Null,Candès et al.: Randomly Distributed Signals,0.05075240848613743
-0.33427757697737165,20,Null,Candès et al.: Randomly Distributed Signals,0.06289650512798228
-1.14157493173455,21,Null,Candès et al.: Randomly Distributed Signals,0.20753012315170152
-3.0250565515564576,22,Alternative,Candès et al.: Randomly Distributed Signals,0.8565832884878332
-0.8720746801182231,23,Null,Candès et al.: Randomly Distributed Signals,0.14063460195663174
-0.30436018651705504,24,Null,Candès et al.: Randomly Distributed Signals,0.0606781322729692
-0.04943128609249568,25,Null,Candès et al.: Randomly Distributed Signals,0.05027994591551961
0.11598325636902086,26,Null,Candès et al.: Randomly Distributed Signals,0.051542389827795146
0.019931034881873574,27,Null,Candès et al.: Randomly Distributed Signals,0.050045505906151054
0.007666282668284608,28,Null,Candès et al.: Randomly Distributed Signals,0.050006732361367115
0.07971978009917773,29,Null,Candès et al.: Randomly Distributed Signals,0.050728318314754633
0.0523566280864192,30,Null,Candès et al.: Randomly Distributed Signals,0.05031406728745508
0.09626915456802611,31,Null,Candès et al.: Randomly Distributed Signals,0.05106231065048775
0.05001118782814201,32,Null,Candès et al.: Randomly Distributed Signals,0.05028655395551563
0.02510959615602593,33,Null,Candès et al.: Randomly Distributed Signals,0.05007222617645139
-0.08986969369030344,34,Null,Candès et al.: Randomly Distributed Signals,0.05092569454485733
-0.006547219922345244,35,Null,Candès et al.: Randomly Distributed Signals,0.05000491033516165
0.2982639398795428,36,Null,Candès et al.: Randomly Distributed Signals,0.06025219267518643
0.21197836195344846,37,Null,Candès et al.: Randomly Distributed Signals,0.055163264440862156
0.6300557475149148,38,Null,Candès et al.: Randomly Distributed Signals,0.09657277511724795
2.243619335410287,39,Alternative,Candès et al.: Randomly Distributed Signals,0.6116758788105771
