task_id	name	status	exit	realtime	peak_vmem
1570	run_method (method: MaxwayCRT_supervised_LASSO_LASSO_6; grid row: 68)	COMPLETED	0	1m 17s	966.4 MB
1487	run_method (method: GCM_supervised_oracle_oracle_1; grid row: 73)	COMPLETED	0	3.2s	635.8 MB
1029	run_method (method: dCRT_supervised_PLASSO_PLASSO_5; grid row: 57)	COMPLETED	0	2m 59s	1.1 GB
1245	run_method (method: dCRT_supervised_PLASSO_PLASSO_5; grid row: 61)	COMPLETED	0	2m 56s	1.1 GB
1248	run_method (method: GCM_supervised_LASSO_LASSO_2; grid row: 61)	COMPLETED	0	2m 45s	974.9 MB
1493	run_method (method: GCM_supervised_oracle_oracle_1; grid row: 76)	COMPLETED	0	3.7s	615.2 MB
1523	run_method (method: GCM_supervised_oracle_oracle_1; grid row: 77)	COMPLETED	0	4.4s	680 MB
1458	run_method (method: GCM_supervised_LASSO_LASSO_2; grid row: 67)	COMPLETED	0	2m 30s	967.8 MB
1459	run_method (method: GCM_supervised_PLASSO_PLASSO_3; grid row: 67)	COMPLETED	0	2m 34s	1 GB
1460	run_method (method: dCRT_supervised_LASSO_LASSO_4; grid row: 67)	COMPLETED	0	2m 46s	1.1 GB
1461	run_method (method: dCRT_supervised_PLASSO_PLASSO_5; grid row: 67)	COMPLETED	0	2m 49s	1.1 GB
1464	run_method (method: GCM_supervised_LASSO_LASSO_2; grid row: 67)	COMPLETED	0	2m 29s	965.8 MB
1923	run_method (method: dCRT_supervised_PLASSO_PLASSO_5; grid row: 39)	COMPLETED	0	1m 54s	1.5 GB
1927	run_method (method: GCM_supervised_PLASSO_PLASSO_3; grid row: 39)	COMPLETED	0	1m 36s	1.3 GB
1619	run_method (method: GCM_supervised_oracle_oracle_1; grid row: 72)	COMPLETED	0	3.5s	619.4 MB
1691	run_method (method: GCM_supervised_oracle_oracle_1; grid row: 84)	COMPLETED	0	3.7s	681.9 MB
2296	run_method (method: MaxwayCRT_supervised_LASSO_LASSO_6; grid row: 22)	COMPLETED	0	1m 58s	1.6 GB
2298	run_method (method: GCM_supervised_LASSO_LASSO_2; grid row: 23)	COMPLETED	0	1m 55s	1.6 GB
874	run_method (method: MaxwayCRT_supervised_LASSO_LASSO_6; grid row: 32)	COMPLETED	0	1m 6s	805.2 MB
2282	run_method (method: dCRT_supervised_LASSO_LASSO_4; grid row: 22)	COMPLETED	0	2m 34s	2.2 GB
2283	run_method (method: dCRT_supervised_PLASSO_PLASSO_5; grid row: 22)	COMPLETED	0	2m 36s	2.2 GB
2368	run_method (method: MaxwayCRT_supervised_LASSO_LASSO_6; grid row: 25)	COMPLETED	0	2m 2s	1.6 GB
2370	run_method (method: GCM_supervised_LASSO_LASSO_2; grid row: 25)	COMPLETED	0	2m 10s	1.6 GB
2371	run_method (method: GCM_supervised_PLASSO_PLASSO_3; grid row: 25)	COMPLETED	0	1m 49s	1.6 GB
804	run_method (method: GCM_supervised_LASSO_LASSO_2; grid row: 5)	COMPLETED	0	1m 12s	810.8 MB
2411	run_method (method: GCM_supervised_oracle_oracle_1; grid row: 21)	COMPLETED	0	7.5s	1.3 GB
2354	run_method (method: dCRT_supervised_LASSO_LASSO_4; grid row: 25)	COMPLETED	0	2m 44s	2.1 GB
806	run_method (method: dCRT_supervised_LASSO_LASSO_4; grid row: 5)	COMPLETED	0	1m 21s	809.4 MB
807	run_method (method: dCRT_supervised_PLASSO_PLASSO_5; grid row: 5)	COMPLETED	0	1m 23s	818.1 MB
1139	run_method (method: GCM_supervised_oracle_oracle_1; grid row: 53)	COMPLETED	0	3.2s	637 MB
2463	run_method (method: dCRT_supervised_PLASSO_PLASSO_5; grid row: 24)	COMPLETED	0	2m 37s	2.5 GB
2462	run_method (method: dCRT_supervised_LASSO_LASSO_4; grid row: 24)	COMPLETED	0	2m 35s	2.1 GB
1228	run_method (method: MaxwayCRT_supervised_LASSO_LASSO_6; grid row: 62)	COMPLETED	0	1m 21s	965.6 MB
1301	run_method (method: GCM_supervised_oracle_oracle_1; grid row: 46)	COMPLETED	0	3.6s	612.4 MB
2008	run_method (method: MaxwayCRT_supervised_LASSO_LASSO_6; grid row: 16)	COMPLETED	0	5m 53s	1.5 GB
1129	run_method (method: GCM_supervised_PLASSO_PLASSO_3; grid row: 51)	COMPLETED	0	2m 40s	968.4 MB
1140	run_method (method: GCM_supervised_LASSO_LASSO_2; grid row: 53)	COMPLETED	0	2m 57s	966.5 MB
1624	run_method (method: MaxwayCRT_supervised_LASSO_LASSO_6; grid row: 72)	COMPLETED	0	1m 25s	965.8 MB
1649	run_method (method: GCM_supervised_oracle_oracle_1; grid row: 74)	COMPLETED	0	3.4s	613.3 MB
1568	run_method (method: dCRT_supervised_LASSO_LASSO_4; grid row: 68)	COMPLETED	0	2m 43s	1.1 GB
1569	run_method (method: dCRT_supervised_PLASSO_PLASSO_5; grid row: 68)	COMPLETED	0	2m 50s	1.1 GB
1572	run_method (method: GCM_supervised_LASSO_LASSO_2; grid row: 68)	COMPLETED	0	2m 32s	976.3 MB
2129	run_method (method: GCM_supervised_oracle_oracle_1; grid row: 41)	COMPLETED	0	7.3s	1.2 GB
823	run_method (method: GCM_supervised_PLASSO_PLASSO_3; grid row: 26)	COMPLETED	0	46.2s	722.4 MB
1130	run_method (method: dCRT_supervised_LASSO_LASSO_4; grid row: 51)	COMPLETED	0	3m 12s	1016.3 MB
2429	run_method (method: GCM_supervised_oracle_oracle_1; grid row: 21)	COMPLETED	0	8.1s	1.3 GB
2300	run_method (method: dCRT_supervised_LASSO_LASSO_4; grid row: 23)	COMPLETED	0	2m 40s	2.1 GB
2360	run_method (method: dCRT_supervised_LASSO_LASSO_4; grid row: 25)	COMPLETED	0	2m 39s	2.1 GB
2367	run_method (method: dCRT_supervised_PLASSO_PLASSO_5; grid row: 25)	COMPLETED	0	2m 41s	2.5 GB
2366	run_method (method: dCRT_supervised_LASSO_LASSO_4; grid row: 25)	COMPLETED	0	2m 37s	2.1 GB
1048	run_method (method: MaxwayCRT_supervised_LASSO_LASSO_6; grid row: 63)	COMPLETED	0	1m 23s	966.9 MB
1090	run_method (method: MaxwayCRT_supervised_LASSO_LASSO_6; grid row: 65)	COMPLETED	0	1m 20s	964.2 MB
1037	run_method (method: GCM_supervised_oracle_oracle_1; grid row: 57)	COMPLETED	0	3.8s	695.5 MB
2361	run_method (method: dCRT_supervised_PLASSO_PLASSO_5; grid row: 25)	COMPLETED	0	3m 5s	2.2 GB
2372	run_method (method: dCRT_supervised_LASSO_LASSO_4; grid row: 25)	COMPLETED	0	2m 47s	2.1 GB
2373	run_method (method: dCRT_supervised_PLASSO_PLASSO_5; grid row: 25)	COMPLETED	0	2m 54s	2.2 GB
1096	run_method (method: MaxwayCRT_supervised_LASSO_LASSO_6; grid row: 65)	COMPLETED	0	1m 17s	963.7 MB
1601	run_method (method: GCM_supervised_oracle_oracle_1; grid row: 71)	COMPLETED	0	3.5s	632.2 MB
1748	run_method (method: dCRT_supervised_LASSO_LASSO_4; grid row: 11)	COMPLETED	0	7m 5s	1.4 GB
1749	run_method (method: dCRT_supervised_PLASSO_PLASSO_5; grid row: 11)	COMPLETED	0	7m 7s	1.3 GB
1224	run_method (method: GCM_supervised_LASSO_LASSO_2; grid row: 62)	COMPLETED	0	2m 43s	975 MB
1225	run_method (method: GCM_supervised_PLASSO_PLASSO_3; grid row: 62)	COMPLETED	0	2m 55s	976 MB
1227	run_method (method: dCRT_supervised_PLASSO_PLASSO_5; grid row: 62)	COMPLETED	0	2m 56s	1.1 GB
1231	run_method (method: GCM_supervised_PLASSO_PLASSO_3; grid row: 62)	COMPLETED	0	2m 40s	974.2 MB
1230	run_method (method: GCM_supervised_LASSO_LASSO_2; grid row: 62)	COMPLETED	0	2m 53s	972.5 MB
1492	run_method (method: MaxwayCRT_supervised_LASSO_LASSO_6; grid row: 73)	COMPLETED	0	1m 18s	965.6 MB
1522	run_method (method: MaxwayCRT_supervised_LASSO_LASSO_6; grid row: 77)	COMPLETED	0	1m 26s	981.3 MB
1618	run_method (method: MaxwayCRT_supervised_LASSO_LASSO_6; grid row: 71)	COMPLETED	0	1m 18s	965.7 MB
2315	run_method (method: GCM_supervised_oracle_oracle_1; grid row: 23)	COMPLETED	0	7.7s	1.1 GB
