task_id	name	status	exit	realtime	peak_vmem
1	obtain_basic_info	COMPLETED	0	397ms	375.8 MB
7	generate_data_benchmark (grid row: 6)	COMPLETED	0	2.2s	606.3 MB
24	generate_data_benchmark (grid row: 23)	COMPLETED	0	6.9s	740.6 MB
3	generate_data_benchmark (grid row: 2)	COMPLETED	0	1.8s	375.8 MB
2	generate_data_benchmark (grid row: 1)	COMPLETED	0	1.8s	372.9 MB
5	generate_data_benchmark (grid row: 4)	COMPLETED	0	1.8s	372.9 MB
4	generate_data_benchmark (grid row: 3)	COMPLETED	0	2.2s	594.9 MB
6	generate_data_benchmark (grid row: 5)	COMPLETED	0	1.8s	375.8 MB
9	generate_data_benchmark (grid row: 8)	COMPLETED	0	2.3s	606.3 MB
8	generate_data_benchmark (grid row: 7)	COMPLETED	0	2.1s	375.8 MB
10	generate_data_benchmark (grid row: 9)	COMPLETED	0	2.2s	606.3 MB
11	generate_data_benchmark (grid row: 10)	COMPLETED	0	2.6s	583.9 MB
12	generate_data_benchmark (grid row: 11)	COMPLETED	0	2.7s	611.7 MB
13	generate_data_benchmark (grid row: 12)	COMPLETED	0	3s	611.7 MB
15	generate_data_benchmark (grid row: 14)	COMPLETED	0	2.9s	611.7 MB
14	generate_data_benchmark (grid row: 13)	COMPLETED	0	2.9s	611.7 MB
16	generate_data_benchmark (grid row: 15)	COMPLETED	0	2.8s	606.9 MB
18	generate_data_benchmark (grid row: 17)	COMPLETED	0	4.2s	649.6 MB
43	generate_data_benchmark (grid row: 42)	COMPLETED	0	5.7s	680.2 MB
42	generate_data_benchmark (grid row: 41)	COMPLETED	0	6.1s	680.2 MB
44	generate_data_benchmark (grid row: 43)	COMPLETED	0	5.9s	680.2 MB
45	generate_data_benchmark (grid row: 44)	COMPLETED	0	5.6s	680.2 MB
46	generate_data_benchmark (grid row: 45)	COMPLETED	0	6s	680.2 MB
17	generate_data_benchmark (grid row: 16)	COMPLETED	0	5s	649.6 MB
19	generate_data_benchmark (grid row: 18)	COMPLETED	0	4.2s	649.6 MB
20	generate_data_benchmark (grid row: 19)	COMPLETED	0	4.6s	649.6 MB
22	generate_data_benchmark (grid row: 21)	COMPLETED	0	6.5s	740.5 MB
21	generate_data_benchmark (grid row: 20)	COMPLETED	0	4.1s	649.6 MB
23	generate_data_benchmark (grid row: 22)	COMPLETED	0	6.7s	740.6 MB
26	generate_data_benchmark (grid row: 25)	COMPLETED	0	7s	740.6 MB
25	generate_data_benchmark (grid row: 24)	COMPLETED	0	6.9s	740.6 MB
27	generate_data_benchmark (grid row: 26)	COMPLETED	0	1.8s	577.9 MB
28	generate_data_benchmark (grid row: 27)	COMPLETED	0	1.6s	577.9 MB
29	generate_data_benchmark (grid row: 28)	COMPLETED	0	1.6s	375.8 MB
30	generate_data_benchmark (grid row: 29)	COMPLETED	0	1.8s	375.8 MB
31	generate_data_benchmark (grid row: 30)	COMPLETED	0	1.8s	375.8 MB
32	generate_data_benchmark (grid row: 31)	COMPLETED	0	1.7s	593.9 MB
33	generate_data_benchmark (grid row: 32)	COMPLETED	0	1.7s	372.9 MB
34	generate_data_benchmark (grid row: 33)	COMPLETED	0	1.8s	372.9 MB
71	generate_data_benchmark (grid row: 70)	COMPLETED	0	2.1s	372.9 MB
35	generate_data_benchmark (grid row: 34)	COMPLETED	0	1.8s	372.9 MB
36	generate_data_benchmark (grid row: 35)	COMPLETED	0	1.7s	593.9 MB
37	generate_data_benchmark (grid row: 36)	COMPLETED	0	3.8s	620.4 MB
38	generate_data_benchmark (grid row: 37)	COMPLETED	0	2.9s	620.4 MB
39	generate_data_benchmark (grid row: 38)	COMPLETED	0	2.9s	607.1 MB
40	generate_data_benchmark (grid row: 39)	COMPLETED	0	3.4s	620.4 MB
41	generate_data_benchmark (grid row: 40)	COMPLETED	0	3s	620.4 MB
48	generate_data_benchmark (grid row: 47)	COMPLETED	0	2.2s	606.7 MB
47	generate_data_benchmark (grid row: 46)	COMPLETED	0	2.1s	606.7 MB
49	generate_data_benchmark (grid row: 48)	COMPLETED	0	2.1s	372.9 MB
50	generate_data_benchmark (grid row: 49)	COMPLETED	0	2.1s	606.7 MB
51	generate_data_benchmark (grid row: 50)	COMPLETED	0	2.2s	606.7 MB
52	generate_data_benchmark (grid row: 51)	COMPLETED	0	2.7s	593.1 MB
53	generate_data_benchmark (grid row: 52)	COMPLETED	0	2.2s	606.2 MB
54	generate_data_benchmark (grid row: 53)	COMPLETED	0	2s	606.2 MB
55	generate_data_benchmark (grid row: 54)	COMPLETED	0	2.2s	606.2 MB
56	generate_data_benchmark (grid row: 55)	COMPLETED	0	2.4s	606.2 MB
58	generate_data_benchmark (grid row: 57)	COMPLETED	0	2.2s	605.3 MB
57	generate_data_benchmark (grid row: 56)	COMPLETED	0	2.3s	604.7 MB
60	generate_data_benchmark (grid row: 59)	COMPLETED	0	2.1s	605.3 MB
59	generate_data_benchmark (grid row: 58)	COMPLETED	0	2.2s	605.3 MB
61	generate_data_benchmark (grid row: 60)	COMPLETED	0	2.1s	605.3 MB
62	generate_data_benchmark (grid row: 61)	COMPLETED	0	2.1s	375.8 MB
63	generate_data_benchmark (grid row: 62)	COMPLETED	0	2.5s	583.9 MB
64	generate_data_benchmark (grid row: 63)	COMPLETED	0	2.1s	604.8 MB
65	generate_data_benchmark (grid row: 64)	COMPLETED	0	2.2s	604.8 MB
66	generate_data_benchmark (grid row: 65)	COMPLETED	0	2.1s	375.8 MB
67	generate_data_benchmark (grid row: 66)	COMPLETED	0	2.2s	606.3 MB
68	generate_data_benchmark (grid row: 67)	COMPLETED	0	2s	372.9 MB
69	generate_data_benchmark (grid row: 68)	COMPLETED	0	2.5s	590 MB
70	generate_data_benchmark (grid row: 69)	COMPLETED	0	2.1s	375.8 MB
72	generate_data_benchmark (grid row: 71)	COMPLETED	0	2.2s	606.3 MB
74	generate_data_benchmark (grid row: 73)	COMPLETED	0	2.1s	606.3 MB
73	generate_data_benchmark (grid row: 72)	COMPLETED	0	2.2s	375.8 MB
76	generate_data_benchmark (grid row: 75)	COMPLETED	0	2.3s	606.3 MB
75	generate_data_benchmark (grid row: 74)	COMPLETED	0	2.1s	375.8 MB
77	generate_data_benchmark (grid row: 76)	COMPLETED	0	2.8s	606.3 MB
78	generate_data_benchmark (grid row: 77)	COMPLETED	0	2.1s	606.3 MB
79	generate_data_benchmark (grid row: 78)	COMPLETED	0	2.1s	606.3 MB
80	generate_data_benchmark (grid row: 79)	COMPLETED	0	2.2s	606.3 MB
81	generate_data_benchmark (grid row: 80)	COMPLETED	0	2.6s	606.3 MB
82	generate_data_benchmark (grid row: 81)	COMPLETED	0	2.3s	606.3 MB
83	generate_data_benchmark (grid row: 82)	COMPLETED	0	2.3s	606.3 MB
94	run_method_benchmark (method: dCRT_semi_supervised_LASSO_naive_8; grid row: 6)	COMPLETED	0	15.7s	652.2 MB
84	generate_data_benchmark (grid row: 83)	COMPLETED	0	2.1s	377.7 MB
85	generate_data_benchmark (grid row: 84)	COMPLETED	0	2.1s	606.3 MB
86	generate_data_benchmark (grid row: 85)	COMPLETED	0	2.6s	583.9 MB
88	run_method_benchmark (method: GCM_semi_supervised_LASSO_LASSO_2; grid row: 6)	COMPLETED	0	17.3s	632.2 MB
89	run_method_benchmark (method: GCM_semi_supervised_PLASSO_PLASSO_3; grid row: 6)	COMPLETED	0	17.7s	638.3 MB
87	run_method_benchmark (method: GCM_semi_supervised_naive_naive_1; grid row: 6)	COMPLETED	0	607ms	372.9 MB
90	run_method_benchmark (method: dCRT_semi_supervised_LASSO_naive_4; grid row: 6)	COMPLETED	0	15.6s	689.7 MB
91	run_method_benchmark (method: dCRT_semi_supervised_LASSO_LASSO_5; grid row: 6)	COMPLETED	0	19.4s	641.3 MB
92	run_method_benchmark (method: dCRT_semi_supervised_PLASSO_naive_6; grid row: 6)	COMPLETED	0	17.7s	685 MB
93	run_method_benchmark (method: dCRT_semi_supervised_PLASSO_PLASSO_7; grid row: 6)	COMPLETED	0	18.9s	686.7 MB
95	run_method_benchmark (method: dCRT_semi_supervised_LASSO_LASSO_9; grid row: 6)	COMPLETED	0	18.3s	640.3 MB
96	run_method_benchmark (method: dCRT_semi_supervised_PLASSO_naive_10; grid row: 6)	COMPLETED	0	16.8s	685 MB
98	run_method_benchmark (method: MaxwayCRT_semi_supervised_LASSO_LASSO_12; grid row: 6)	COMPLETED	0	8.7s	625.8 MB
97	run_method_benchmark (method: dCRT_semi_supervised_PLASSO_PLASSO_11; grid row: 6)	COMPLETED	0	18.3s	692.7 MB
100	run_method_benchmark (method: GCM_semi_supervised_LASSO_LASSO_2; grid row: 23)	COMPLETED	0	17.6s	797.1 MB
125	run_method_benchmark (method: GCM_semi_supervised_PLASSO_PLASSO_3; grid row: 1)	COMPLETED	0	6.8s	628.3 MB
99	run_method_benchmark (method: GCM_semi_supervised_naive_naive_1; grid row: 23)	COMPLETED	0	1.2s	375.8 MB
101	run_method_benchmark (method: GCM_semi_supervised_PLASSO_PLASSO_3; grid row: 23)	COMPLETED	0	18.6s	819.6 MB
102	run_method_benchmark (method: dCRT_semi_supervised_LASSO_naive_4; grid row: 23)	COMPLETED	0	19.9s	1.1 GB
103	run_method_benchmark (method: dCRT_semi_supervised_LASSO_LASSO_5; grid row: 23)	COMPLETED	0	27.1s	1.3 GB
