task_id	name	status	exit	realtime	peak_vmem
1755	run_method (method: dCRT_semi_supervised_PLASSO_PLASSO_5; grid row: 42)	COMPLETED	0	2m 33s	1.9 GB
1571	run_method (method: GCM_semi_supervised_oracle_oracle_1; grid row: 36)	COMPLETED	0	4.8s	831.3 MB
1354	run_method (method: MaxwayCRT_semi_supervised_LASSO_LASSO_6; grid row: 25)	COMPLETED	0	1m 59s	1.7 GB
1577	run_method (method: GCM_semi_supervised_oracle_oracle_1; grid row: 36)	COMPLETED	0	4.8s	833.7 MB
2048	run_method (method: dCRT_semi_supervised_LASSO_LASSO_4; grid row: 58)	COMPLETED	0	5m 59s	1.1 GB
2049	run_method (method: dCRT_semi_supervised_PLASSO_PLASSO_5; grid row: 58)	COMPLETED	0	6m 13s	1.1 GB
2055	run_method (method: dCRT_semi_supervised_PLASSO_PLASSO_5; grid row: 58)	COMPLETED	0	6m 2s	1 GB
2060	run_method (method: dCRT_semi_supervised_LASSO_LASSO_4; grid row: 60)	COMPLETED	0	6m 9s	994.1 MB
2064	run_method (method: GCM_semi_supervised_LASSO_LASSO_2; grid row: 60)	COMPLETED	0	5m 57s	973.7 MB
2065	run_method (method: GCM_semi_supervised_PLASSO_PLASSO_3; grid row: 60)	COMPLETED	0	5m 58s	976.8 MB
2067	run_method (method: dCRT_semi_supervised_PLASSO_PLASSO_5; grid row: 60)	COMPLETED	0	6m 4s	1.1 GB
2066	run_method (method: dCRT_semi_supervised_LASSO_LASSO_4; grid row: 60)	COMPLETED	0	6m 2s	999.6 MB
2078	run_method (method: dCRT_semi_supervised_LASSO_LASSO_4; grid row: 61)	COMPLETED	0	6m 5s	1000.1 MB
2151	run_method (method: dCRT_semi_supervised_PLASSO_PLASSO_5; grid row: 65)	COMPLETED	0	6m 6s	1 GB
2155	run_method (method: GCM_semi_supervised_PLASSO_PLASSO_3; grid row: 65)	COMPLETED	0	5m 48s	977.7 MB
2154	run_method (method: GCM_semi_supervised_LASSO_LASSO_2; grid row: 65)	COMPLETED	0	5m 43s	987.3 MB
2383	run_method (method: GCM_semi_supervised_PLASSO_PLASSO_3; grid row: 77)	COMPLETED	0	6m 24s	1.1 GB
2109	run_method (method: dCRT_semi_supervised_PLASSO_PLASSO_5; grid row: 62)	COMPLETED	0	5m 54s	1.1 GB
