task_id	name	status	exit	realtime	peak_vmem
1	obtain_basic_info	COMPLETED	0	1.5s	395.9 MB
2	generate_data_benchmark (grid row: 1)	COMPLETED	0	5s	580.4 MB
4	generate_data_benchmark (grid row: 3)	COMPLETED	0	5s	580.4 MB
5	generate_data_benchmark (grid row: 4)	COMPLETED	0	4.9s	580.4 MB
3	generate_data_benchmark (grid row: 2)	COMPLETED	0	4.9s	580.4 MB
17	generate_data_benchmark (grid row: 16)	COMPLETED	0	6.8s	635 MB
18	generate_data_benchmark (grid row: 17)	COMPLETED	0	7.3s	635 MB
19	generate_data_benchmark (grid row: 18)	COMPLETED	0	7.4s	635 MB
20	generate_data_benchmark (grid row: 19)	COMPLETED	0	7.3s	635 MB
21	generate_data_benchmark (grid row: 20)	COMPLETED	0	7s	635 MB
9	generate_data_benchmark (grid row: 8)	COMPLETED	0	3.8s	592.3 MB
10	generate_data_benchmark (grid row: 9)	COMPLETED	0	3.8s	592.3 MB
11	generate_data_benchmark (grid row: 10)	COMPLETED	0	3.7s	592.3 MB
13	generate_data_benchmark (grid row: 12)	COMPLETED	0	5.1s	597.1 MB
12	generate_data_benchmark (grid row: 11)	COMPLETED	0	5s	597.1 MB
14	generate_data_benchmark (grid row: 13)	COMPLETED	0	5s	597.1 MB
22	generate_data_benchmark (grid row: 21)	COMPLETED	0	11s	726 MB
23	generate_data_benchmark (grid row: 22)	COMPLETED	0	12s	726 MB
6	generate_data_benchmark (grid row: 5)	COMPLETED	0	4.8s	580.4 MB
7	generate_data_benchmark (grid row: 6)	COMPLETED	0	4.9s	592.3 MB
8	generate_data_benchmark (grid row: 7)	COMPLETED	0	4.9s	592.3 MB
16	generate_data_benchmark (grid row: 15)	COMPLETED	0	4.3s	597.1 MB
15	generate_data_benchmark (grid row: 14)	COMPLETED	0	4.2s	597.1 MB
27	generate_data_benchmark (grid row: 26)	COMPLETED	0	2.9s	476 MB
28	generate_data_benchmark (grid row: 27)	COMPLETED	0	6.3s	476 MB
29	generate_data_benchmark (grid row: 28)	COMPLETED	0	6.3s	476 MB
30	generate_data_benchmark (grid row: 29)	COMPLETED	0	6.2s	476 MB
31	generate_data_benchmark (grid row: 30)	COMPLETED	0	2.8s	476 MB
32	generate_data_benchmark (grid row: 31)	COMPLETED	0	3s	476.1 MB
33	generate_data_benchmark (grid row: 32)	COMPLETED	0	3s	476.1 MB
34	generate_data_benchmark (grid row: 33)	COMPLETED	0	2.9s	476.1 MB
35	generate_data_benchmark (grid row: 34)	COMPLETED	0	2.9s	481.2 MB
36	generate_data_benchmark (grid row: 35)	COMPLETED	0	2.9s	476.1 MB
38	generate_data_benchmark (grid row: 37)	COMPLETED	0	4.5s	605.8 MB
37	generate_data_benchmark (grid row: 36)	COMPLETED	0	4.4s	605.8 MB
39	generate_data_benchmark (grid row: 38)	COMPLETED	0	4.7s	605.8 MB
40	generate_data_benchmark (grid row: 39)	COMPLETED	0	4.7s	605.8 MB
41	generate_data_benchmark (grid row: 40)	COMPLETED	0	4.6s	605.8 MB
43	generate_data_benchmark (grid row: 42)	COMPLETED	0	8.2s	678.3 MB
42	generate_data_benchmark (grid row: 41)	COMPLETED	0	8.8s	678.3 MB
44	generate_data_benchmark (grid row: 43)	COMPLETED	0	9s	678.3 MB
46	generate_data_benchmark (grid row: 45)	COMPLETED	0	9.2s	678.3 MB
47	generate_data_benchmark (grid row: 46)	COMPLETED	0	3.3s	478.7 MB
45	generate_data_benchmark (grid row: 44)	COMPLETED	0	8.1s	678.3 MB
49	generate_data_benchmark (grid row: 48)	COMPLETED	0	4.2s	592.7 MB
48	generate_data_benchmark (grid row: 47)	COMPLETED	0	4.2s	592.7 MB
50	generate_data_benchmark (grid row: 49)	COMPLETED	0	4.3s	592.7 MB
24	generate_data_benchmark (grid row: 23)	COMPLETED	0	11.9s	726 MB
25	generate_data_benchmark (grid row: 24)	COMPLETED	0	11.9s	726 MB
26	generate_data_benchmark (grid row: 25)	COMPLETED	0	11.7s	726 MB
51	generate_data_benchmark (grid row: 50)	COMPLETED	0	4.1s	592.7 MB
52	generate_data_benchmark (grid row: 51)	COMPLETED	0	4.1s	592.3 MB
54	generate_data_benchmark (grid row: 53)	COMPLETED	0	4.1s	592.3 MB
53	generate_data_benchmark (grid row: 52)	COMPLETED	0	4.1s	592.3 MB
56	generate_data_benchmark (grid row: 55)	COMPLETED	0	3.7s	592.2 MB
55	generate_data_benchmark (grid row: 54)	COMPLETED	0	3.5s	592.3 MB
57	generate_data_benchmark (grid row: 56)	COMPLETED	0	3.4s	591.4 MB
58	generate_data_benchmark (grid row: 57)	COMPLETED	0	3.4s	591.4 MB
60	generate_data_benchmark (grid row: 59)	COMPLETED	0	4s	591.4 MB
59	generate_data_benchmark (grid row: 58)	COMPLETED	0	3.7s	591.4 MB
61	generate_data_benchmark (grid row: 60)	COMPLETED	0	4s	591.4 MB
63	generate_data_benchmark (grid row: 62)	COMPLETED	0	3.9s	590.8 MB
62	generate_data_benchmark (grid row: 61)	COMPLETED	0	3.9s	590.8 MB
65	generate_data_benchmark (grid row: 64)	COMPLETED	0	3.8s	590.8 MB
64	generate_data_benchmark (grid row: 63)	COMPLETED	0	3.7s	590.8 MB
66	generate_data_benchmark (grid row: 65)	COMPLETED	0	3.6s	590.8 MB
67	generate_data_benchmark (grid row: 66)	COMPLETED	0	3.6s	592.3 MB
68	generate_data_benchmark (grid row: 67)	COMPLETED	0	3.1s	479 MB
70	generate_data_benchmark (grid row: 69)	COMPLETED	0	3.1s	482.4 MB
69	generate_data_benchmark (grid row: 68)	COMPLETED	0	3.2s	477.1 MB
72	generate_data_benchmark (grid row: 71)	COMPLETED	0	3.4s	477.1 MB
71	generate_data_benchmark (grid row: 70)	COMPLETED	0	3.3s	477.1 MB
73	generate_data_benchmark (grid row: 72)	COMPLETED	0	3.3s	477.1 MB
74	generate_data_benchmark (grid row: 73)	COMPLETED	0	3.8s	592.3 MB
75	generate_data_benchmark (grid row: 74)	COMPLETED	0	3.8s	592.3 MB
76	generate_data_benchmark (grid row: 75)	COMPLETED	0	3.8s	592.3 MB
78	generate_data_benchmark (grid row: 77)	COMPLETED	0	3.7s	592.3 MB
77	generate_data_benchmark (grid row: 76)	COMPLETED	0	3.7s	592.3 MB
79	generate_data_benchmark (grid row: 78)	COMPLETED	0	3.6s	592.3 MB
80	generate_data_benchmark (grid row: 79)	COMPLETED	0	3.6s	592.3 MB
81	generate_data_benchmark (grid row: 80)	COMPLETED	0	3.6s	592.3 MB
82	generate_data_benchmark (grid row: 81)	COMPLETED	0	3.6s	592.3 MB
83	generate_data_benchmark (grid row: 82)	COMPLETED	0	3.6s	592.3 MB
84	generate_data_benchmark (grid row: 83)	COMPLETED	0	3.6s	592.3 MB
85	generate_data_benchmark (grid row: 84)	COMPLETED	0	3.4s	592.3 MB
86	generate_data_benchmark (grid row: 85)	COMPLETED	0	3.4s	592.3 MB
88	run_method_benchmark (method: GCM_semi_supervised_LASSO_LASSO_2; grid row: 1)	COMPLETED	0	7.7s	593.8 MB
87	run_method_benchmark (method: GCM_semi_supervised_oracle_oracle_1; grid row: 1)	COMPLETED	0	1.4s	396.2 MB
90	run_method_benchmark (method: dCRT_semi_supervised_LASSO_LASSO_4; grid row: 1)	COMPLETED	0	7.8s	604.5 MB
103	run_method_benchmark (method: dCRT_semi_supervised_PLASSO_PLASSO_5; grid row: 4)	COMPLETED	0	7s	607.6 MB
104	run_method_benchmark (method: MaxwayCRT_semi_supervised_LASSO_LASSO_6; grid row: 4)	COMPLETED	0	5.9s	648.2 MB
89	run_method_benchmark (method: GCM_semi_supervised_PLASSO_PLASSO_3; grid row: 1)	COMPLETED	0	7.5s	593.3 MB
91	run_method_benchmark (method: dCRT_semi_supervised_PLASSO_PLASSO_5; grid row: 1)	COMPLETED	0	7.9s	613.4 MB
92	run_method_benchmark (method: MaxwayCRT_semi_supervised_LASSO_LASSO_6; grid row: 1)	COMPLETED	0	6.9s	646.3 MB
93	run_method_benchmark (method: GCM_semi_supervised_oracle_oracle_1; grid row: 3)	COMPLETED	0	1.4s	396.2 MB
94	run_method_benchmark (method: GCM_semi_supervised_LASSO_LASSO_2; grid row: 3)	COMPLETED	0	7s	596 MB
95	run_method_benchmark (method: GCM_semi_supervised_PLASSO_PLASSO_3; grid row: 3)	COMPLETED	0	7s	596.6 MB
97	run_method_benchmark (method: dCRT_semi_supervised_PLASSO_PLASSO_5; grid row: 3)	COMPLETED	0	7.1s	615.2 MB
109	run_method_benchmark (method: dCRT_semi_supervised_PLASSO_PLASSO_5; grid row: 2)	COMPLETED	0	7.1s	609 MB
96	run_method_benchmark (method: dCRT_semi_supervised_LASSO_LASSO_4; grid row: 3)	COMPLETED	0	7s	605.1 MB
