task_id	name	status	exit	realtime	peak_vmem
420	run_method_benchmark (method: dCRT_supervised_LASSO_LASSO_4; grid row: 56)	COMPLETED	0	8.9s	643.2 MB
421	run_method_benchmark (method: dCRT_supervised_PLASSO_PLASSO_5; grid row: 56)	COMPLETED	0	8.4s	634.8 MB
424	run_method_benchmark (method: GCM_supervised_LASSO_LASSO_2; grid row: 58)	COMPLETED	0	7.7s	593.9 MB
423	run_method_benchmark (method: GCM_supervised_oracle_oracle_1; grid row: 58)	COMPLETED	0	1.5s	396 MB
426	run_method_benchmark (method: dCRT_supervised_LASSO_LASSO_4; grid row: 58)	COMPLETED	0	8.3s	642.8 MB
427	run_method_benchmark (method: dCRT_supervised_PLASSO_PLASSO_5; grid row: 58)	COMPLETED	0	8.9s	670.9 MB
425	run_method_benchmark (method: GCM_supervised_PLASSO_PLASSO_3; grid row: 58)	COMPLETED	0	7.7s	624.2 MB
428	run_method_benchmark (method: MaxwayCRT_supervised_LASSO_LASSO_6; grid row: 58)	COMPLETED	0	6s	642.6 MB
430	run_method_benchmark (method: GCM_supervised_LASSO_LASSO_2; grid row: 59)	COMPLETED	0	7.6s	593.2 MB
429	run_method_benchmark (method: GCM_supervised_oracle_oracle_1; grid row: 59)	COMPLETED	0	1.5s	396 MB
422	run_method_benchmark (method: MaxwayCRT_supervised_LASSO_LASSO_6; grid row: 56)	COMPLETED	0	6s	640.1 MB
431	run_method_benchmark (method: GCM_supervised_PLASSO_PLASSO_3; grid row: 59)	COMPLETED	0	7.6s	627.4 MB
432	run_method_benchmark (method: dCRT_supervised_LASSO_LASSO_4; grid row: 59)	COMPLETED	0	8.3s	639.4 MB
446	run_method_benchmark (method: MaxwayCRT_supervised_LASSO_LASSO_6; grid row: 61)	COMPLETED	0	6.4s	641.2 MB
448	run_method_benchmark (method: GCM_supervised_LASSO_LASSO_2; grid row: 62)	COMPLETED	0	7.8s	594.1 MB
449	run_method_benchmark (method: GCM_supervised_PLASSO_PLASSO_3; grid row: 62)	COMPLETED	0	7.8s	625.4 MB
450	run_method_benchmark (method: dCRT_supervised_LASSO_LASSO_4; grid row: 62)	COMPLETED	0	8.3s	643.6 MB
451	run_method_benchmark (method: dCRT_supervised_PLASSO_PLASSO_5; grid row: 62)	COMPLETED	0	8.3s	631.9 MB
452	run_method_benchmark (method: MaxwayCRT_supervised_LASSO_LASSO_6; grid row: 62)	COMPLETED	0	5.9s	640.2 MB
454	run_method_benchmark (method: GCM_supervised_LASSO_LASSO_2; grid row: 57)	COMPLETED	0	7.5s	592.8 MB
453	run_method_benchmark (method: GCM_supervised_oracle_oracle_1; grid row: 57)	COMPLETED	0	1.8s	391.7 MB
441	run_method_benchmark (method: GCM_supervised_oracle_oracle_1; grid row: 61)	COMPLETED	0	1.5s	396.2 MB
443	run_method_benchmark (method: GCM_supervised_PLASSO_PLASSO_3; grid row: 61)	COMPLETED	0	7.7s	593 MB
442	run_method_benchmark (method: GCM_supervised_LASSO_LASSO_2; grid row: 61)	COMPLETED	0	7.7s	593.3 MB
455	run_method_benchmark (method: GCM_supervised_PLASSO_PLASSO_3; grid row: 57)	COMPLETED	0	8s	595.7 MB
456	run_method_benchmark (method: dCRT_supervised_LASSO_LASSO_4; grid row: 57)	COMPLETED	0	8.6s	643.5 MB
457	run_method_benchmark (method: dCRT_supervised_PLASSO_PLASSO_5; grid row: 57)	COMPLETED	0	8.6s	634.8 MB
435	run_method_benchmark (method: GCM_supervised_oracle_oracle_1; grid row: 60)	COMPLETED	0	1.5s	396.3 MB
438	run_method_benchmark (method: dCRT_supervised_LASSO_LASSO_4; grid row: 60)	COMPLETED	0	8.5s	650.9 MB
437	run_method_benchmark (method: GCM_supervised_PLASSO_PLASSO_3; grid row: 60)	COMPLETED	0	7.7s	593.9 MB
439	run_method_benchmark (method: dCRT_supervised_PLASSO_PLASSO_5; grid row: 60)	COMPLETED	0	8.3s	639 MB
444	run_method_benchmark (method: dCRT_supervised_LASSO_LASSO_4; grid row: 61)	COMPLETED	0	8.5s	648.1 MB
445	run_method_benchmark (method: dCRT_supervised_PLASSO_PLASSO_5; grid row: 61)	COMPLETED	0	8.4s	632 MB
447	run_method_benchmark (method: GCM_supervised_oracle_oracle_1; grid row: 62)	COMPLETED	0	1.6s	396 MB
465	run_method_benchmark (method: GCM_supervised_oracle_oracle_1; grid row: 66)	COMPLETED	0	1.8s	394 MB
236	run_method_benchmark (method: MaxwayCRT_supervised_LASSO_LASSO_6; grid row: 25)	COMPLETED	0	2m 43s	999.3 MB
440	run_method_benchmark (method: MaxwayCRT_supervised_LASSO_LASSO_6; grid row: 60)	COMPLETED	0	6.8s	639.1 MB
242	run_method_benchmark (method: MaxwayCRT_supervised_LASSO_LASSO_6; grid row: 24)	COMPLETED	0	3m 6s	993.2 MB
244	run_method_benchmark (method: GCM_supervised_LASSO_LASSO_2; grid row: 16)	COMPLETED	0	3m 7s	679.6 MB
245	run_method_benchmark (method: GCM_supervised_PLASSO_PLASSO_3; grid row: 16)	COMPLETED	0	3m 7s	687.2 MB
