task_id	name	status	exit	realtime	peak_vmem
1874	run_method (method: dCRT_semi_supervised_PLASSO_naive_10; grid row: 46)	COMPLETED	0	7m 59s	1004.8 MB
1875	run_method (method: dCRT_semi_supervised_PLASSO_PLASSO_11; grid row: 46)	COMPLETED	0	8m 5s	1.1 GB
1878	run_method (method: GCM_semi_supervised_LASSO_LASSO_2; grid row: 47)	COMPLETED	0	8m 4s	980.6 MB
1884	run_method (method: dCRT_semi_supervised_LASSO_naive_8; grid row: 47)	COMPLETED	0	7m 59s	1 GB
1886	run_method (method: dCRT_semi_supervised_PLASSO_naive_10; grid row: 47)	COMPLETED	0	7m 59s	1.1 GB
1887	run_method (method: dCRT_semi_supervised_PLASSO_PLASSO_11; grid row: 47)	COMPLETED	0	8m 4s	1.1 GB
1890	run_method (method: GCM_semi_supervised_LASSO_LASSO_2; grid row: 47)	COMPLETED	0	8m 4s	981.2 MB
1891	run_method (method: GCM_semi_supervised_PLASSO_PLASSO_3; grid row: 47)	COMPLETED	0	8m 4s	985.8 MB
2064	run_method (method: dCRT_semi_supervised_LASSO_naive_8; grid row: 67)	COMPLETED	0	7m 57s	1.1 GB
2066	run_method (method: dCRT_semi_supervised_PLASSO_naive_10; grid row: 67)	COMPLETED	0	7m 57s	1.1 GB
2072	run_method (method: dCRT_semi_supervised_LASSO_naive_4; grid row: 67)	COMPLETED	0	7m 57s	1.1 GB
2179	run_method (method: GCM_semi_supervised_PLASSO_PLASSO_3; grid row: 85)	COMPLETED	0	7m 9s	981.4 MB
2181	run_method (method: dCRT_semi_supervised_LASSO_LASSO_5; grid row: 85)	COMPLETED	0	7m 11s	1 GB
2183	run_method (method: dCRT_semi_supervised_PLASSO_PLASSO_7; grid row: 85)	COMPLETED	0	7m 11s	1.1 GB
2185	run_method (method: dCRT_semi_supervised_LASSO_LASSO_9; grid row: 85)	COMPLETED	0	7m 10s	1.1 GB
2457	run_method (method: dCRT_semi_supervised_LASSO_LASSO_5; grid row: 7)	COMPLETED	0	6m 39s	1.2 GB
